date,hospital_id,department,total_beds,occupied_beds,admissions,discharges,avg_length_of_stay,staff_on_duty,occupancy_rate
2019-02-22,1,ER,50,42,9,8,2,19,85.49
2019-02-23,1,ER,50,40,16,10,2,18,80.12
2019-02-24,1,ER,50,35,9,12,2,20,71.17
2019-02-25,1,ER,50,44,14,6,2,23,89.82
2019-02-26,1,ER,50,39,5,4,3,25,79.79
2019-02-27,1,ER,50,43,13,11,4,24,86.2
2019-02-28,1,ER,50,40,5,8,1,21,80.17
2019-03-01,1,ER,50,34,5,12,2,22,69.31
2019-03-02,1,ER,50,37,5,9,3,24,74.38
2019-03-03,1,ER,50,32,9,8,5,22,65.49
2019-03-04,1,ER,50,39,10,9,2,26,78.52
2019-03-05,1,ER,50,42,9,5,1,27,85.76
2019-03-06,1,ER,50,38,10,7,2,23,77.15
2019-03-07,1,ER,50,39,5,7,3,21,79.71
2019-03-08,1,ER,50,38,7,4,3,18,77.48
2019-03-09,1,ER,50,32,10,5,3,19,64.51
2019-03-10,1,ER,50,37,12,7,3,21,75.67
2019-03-11,1,ER,50,42,9,5,3,22,85.08
2019-03-12,1,ER,50,41,6,5,2,21,83.12
2019-03-13,1,ER,50,41,9,8,3,23,83.38
2019-03-14,1,ER,50,43,10,5,3,22,86.61
2019-03-15,1,ER,50,43,3,7,3,24,87.48
2019-03-16,1,ER,50,36,4,7,3,20,73.23
2019-03-17,1,ER,50,36,5,6,2,22,72.96
2019-03-18,1,ER,50,42,11,4,2,28,84.68
2019-03-19,1,ER,50,43,5,9,3,24,86.77
2019-03-20,1,ER,50,41,7,8,1,21,83.13
2019-03-21,1,ER,50,40,8,6,2,21,80.05
2019-03-22,1,ER,50,47,4,9,2,25,95.0
2019-03-23,1,ER,50,37,15,7,4,23,74.44
2019-03-24,1,ER,50,34,5,8,3,18,69.83
2019-03-25,1,ER,50,44,3,4,3,23,88.95
2019-03-26,1,ER,50,43,11,13,2,25,86.18
2019-03-27,1,ER,50,40,10,8,3,21,80.56
2019-03-28,1,ER,50,38,10,8,1,19,76.33
2019-03-29,1,ER,50,44,6,5,3,24,88.87
2019-03-30,1,ER,50,39,16,7,1,22,78.4
2019-03-31,1,ER,50,36,7,6,3,24,73.9
2019-04-01,1,ER,50,38,5,11,1,20,77.01
2019-04-02,1,ER,50,42,6,5,1,23,85.55
2019-04-03,1,ER,50,42,8,12,4,25,84.74
2019-04-04,1,ER,50,41,10,10,3,26,82.83
2019-04-05,1,ER,50,41,3,8,2,21,83.19
2019-04-06,1,ER,50,30,7,10,2,24,60.45
2019-04-07,1,ER,50,36,7,7,1,24,73.11
2019-04-08,1,ER,50,45,8,6,4,22,90.19
2019-04-09,1,ER,50,44,5,10,3,23,88.11
2019-04-10,1,ER,50,39,9,7,3,22,78.37
2019-04-11,1,ER,50,39,4,10,1,20,79.88
2019-04-12,1,ER,50,35,6,15,4,24,71.73
2019-04-13,1,ER,50,35,8,9,1,20,70.97
2019-04-14,1,ER,50,31,6,6,3,18,62.9
2019-04-15,1,ER,50,36,6,5,2,22,72.14
2019-04-16,1,ER,50,40,5,5,2,24,81.56
2019-04-17,1,ER,50,41,7,3,3,24,83.38
2019-04-18,1,ER,50,40,5,6,2,24,80.66
2019-04-19,1,ER,50,41,4,15,2,22,82.92
2019-04-20,1,ER,50,37,3,8,2,21,74.17
2019-04-21,1,ER,50,34,3,8,2,22,69.13
2019-04-22,1,ER,50,39,8,8,4,19,79.36
2019-04-23,1,ER,50,43,6,6,2,23,87.21
2019-04-24,1,ER,50,42,10,4,1,23,85.84
2019-04-25,1,ER,50,40,10,4,2,23,81.22
2019-04-26,1,ER,50,37,12,9,4,24,74.0
2019-04-27,1,ER,50,34,9,8,1,18,68.8
2019-04-28,1,ER,50,35,4,9,3,20,71.87
2019-04-29,1,ER,50,40,5,8,3,22,80.75
2019-04-30,1,ER,50,43,2,7,3,21,87.93
2019-05-01,1,ER,50,40,7,8,3,22,80.11
2019-05-02,1,ER,50,40,6,7,3,22,80.02
2019-05-03,1,ER,50,42,8,9,3,20,84.31
2019-05-04,1,ER,50,27,7,11,2,19,55.6
2019-05-05,1,ER,50,29,9,4,1,18,59.57
2019-05-06,1,ER,50,34,10,8,3,19,69.79
2019-05-07,1,ER,50,35,9,7,3,20,70.7
2019-05-08,1,ER,50,40,11,3,3,21,81.63
2019-05-09,1,ER,50,39,8,2,3,25,78.44
2019-05-10,1,ER,50,42,12,8,4,27,84.21
2019-05-11,1,ER,50,31,6,12,3,21,62.49
2019-05-12,1,ER,50,34,4,9,3,23,69.3
2019-05-13,1,ER,50,37,12,9,4,23,75.79
2019-05-14,1,ER,50,38,9,12,2,23,76.82
2019-05-15,1,ER,50,35,8,3,3,20,70.13
2019-05-16,1,ER,50,38,9,9,3,19,76.67
2019-05-17,1,ER,50,36,9,6,2,22,73.31
2019-05-18,1,ER,50,31,7,7,3,21,62.81
2019-05-19,1,ER,50,32,4,8,2,16,64.9
2019-05-20,1,ER,50,39,13,10,3,20,79.96
2019-05-21,1,ER,50,38,7,9,2,28,76.76
2019-05-22,1,ER,50,39,7,5,3,23,79.16
2019-05-23,1,ER,50,36,9,4,3,27,73.09
2019-05-24,1,ER,50,35,9,5,2,20,71.63
2019-05-25,1,ER,50,32,9,4,2,22,64.2
2019-05-26,1,ER,50,29,9,5,2,21,58.97
2019-05-27,1,ER,50,37,6,7,2,20,75.56
2019-05-28,1,ER,50,41,9,13,2,24,83.39
2019-05-29,1,ER,50,35,9,7,2,21,71.41
2019-05-30,1,ER,50,37,8,6,4,21,74.5
2019-05-31,1,ER,50,36,11,7,3,18,73.54
2019-06-01,1,ER,50,21,8,7,3,19,43.31
2019-06-02,1,ER,50,29,3,6,2,19,59.93
2019-06-03,1,ER,50,34,6,7,3,22,68.6
2019-06-04,1,ER,50,32,12,5,3,23,64.46
2019-06-05,1,ER,50,35,6,5,1,24,71.76
2019-06-06,1,ER,50,32,7,3,4,18,65.41
2019-06-07,1,ER,50,34,3,6,3,18,68.41
2019-06-08,1,ER,50,27,6,8,3,19,55.64
2019-06-09,1,ER,50,28,7,6,4,23,57.37
2019-06-10,1,ER,50,33,5,9,1,24,67.5
2019-06-11,1,ER,50,34,8,8,1,21,69.99
2019-06-12,1,ER,50,38,8,9,2,22,76.9
2019-06-13,1,ER,50,37,6,6,1,21,74.72
2019-06-14,1,ER,50,36,6,9,2,19,73.47
2019-06-15,1,ER,50,26,8,6,5,18,53.38
2019-06-16,1,ER,50,24,9,7,4,21,49.62
2019-06-17,1,ER,50,37,7,0,1,21,75.2
2019-06-18,1,ER,50,35,6,5,2,20,70.86
2019-06-19,1,ER,50,36,12,8,3,22,72.2
2019-06-20,1,ER,50,37,10,5,2,23,74.68
2019-06-21,1,ER,50,35,8,8,2,23,71.56
2019-06-22,1,ER,50,29,7,5,3,19,59.01
2019-06-23,1,ER,50,28,7,3,3,20,57.32
2019-06-24,1,ER,50,35,6,6,3,23,71.72
2019-06-25,1,ER,50,35,6,6,2,24,71.06
2019-06-26,1,ER,50,35,8,10,1,21,71.06
2019-06-27,1,ER,50,30,9,11,3,20,61.97
2019-06-28,1,ER,50,38,9,6,1,24,77.19
2019-06-29,1,ER,50,25,5,6,3,20,51.18
2019-06-30,1,ER,50,29,11,8,3,20,59.53
2019-07-01,1,ER,50,30,3,10,2,20,61.99
2019-07-02,1,ER,50,30,9,9,3,20,61.28
2019-07-03,1,ER,50,30,10,5,2,20,60.65
2019-07-04,1,ER,50,32,9,12,3,21,65.58
2019-07-05,1,ER,50,28,5,7,3,19,57.5
2019-07-06,1,ER,50,22,6,8,2,20,44.85
2019-07-07,1,ER,50,20,8,8,2,19,41.34
2019-07-08,1,ER,50,32,5,16,3,23,64.46
2019-07-09,1,ER,50,33,15,6,2,23,67.52
2019-07-10,1,ER,50,31,5,5,3,19,62.78
2019-07-11,1,ER,50,29,5,11,4,21,58.4
2019-07-12,1,ER,50,30,4,7,3,24,60.85
2019-07-13,1,ER,50,24,8,9,2,23,49.65
2019-07-14,1,ER,50,22,8,9,1,23,44.86
2019-07-15,1,ER,50,34,7,2,2,20,68.25
2019-07-16,1,ER,50,30,4,5,3,20,61.94
2019-07-17,1,ER,50,31,7,5,5,23,62.18
2019-07-18,1,ER,50,33,10,4,2,22,67.18
2019-07-19,1,ER,50,31,8,7,1,21,63.47
2019-07-20,1,ER,50,24,13,8,3,15,48.81
2019-07-21,1,ER,50,18,7,5,2,20,36.53
2019-07-22,1,ER,50,35,7,6,4,21,70.11
2019-07-23,1,ER,50,30,4,11,3,20,61.94
2019-07-24,1,ER,50,32,10,5,2,20,65.67
2019-07-25,1,ER,50,30,8,5,2,21,60.86
2019-07-26,1,ER,50,28,7,2,3,21,57.83
2019-07-27,1,ER,50,20,8,0,4,16,40.28
2019-07-28,1,ER,50,25,13,9,3,20,51.62
2019-07-29,1,ER,50,31,5,10,2,20,62.21
2019-07-30,1,ER,50,31,8,6,4,18,63.35
2019-07-31,1,ER,50,30,10,5,2,20,61.28
2019-08-01,1,ER,50,26,9,11,2,21,52.91
2019-08-02,1,ER,50,29,8,12,3,18,59.38
2019-08-03,1,ER,50,17,10,7,4,17,35.38
2019-08-04,1,ER,50,22,8,6,4,19,45.96
2019-08-05,1,ER,50,31,7,7,4,24,63.08
2019-08-06,1,ER,50,34,4,6,3,22,68.62
2019-08-07,1,ER,50,28,6,8,2,20,56.35
2019-08-08,1,ER,50,24,10,3,2,20,48.51
2019-08-09,1,ER,50,28,6,4,2,19,57.81
2019-08-10,1,ER,50,18,6,8,3,19,37.51
2019-08-11,1,ER,50,21,8,9,2,19,42.55
2019-08-12,1,ER,50,28,8,10,3,18,57.58
2019-08-13,1,ER,50,29,5,6,3,19,59.26
2019-08-14,1,ER,50,31,6,6,1,19,63.63
2019-08-15,1,ER,50,32,10,9,1,23,64.72
2019-08-16,1,ER,50,28,11,11,3,21,57.52
2019-08-17,1,ER,50,23,6,7,3,22,46.36
2019-08-18,1,ER,50,19,5,3,3,19,38.81
2019-08-19,1,ER,50,31,5,7,3,22,62.37
2019-08-20,1,ER,50,31,8,9,1,20,62.76
2019-08-21,1,ER,50,27,9,5,4,20,55.7
2019-08-22,1,ER,50,27,8,5,2,19,54.21
2019-08-23,1,ER,50,28,8,5,2,20,56.26
2019-08-24,1,ER,50,20,7,3,2,17,41.83
2019-08-25,1,ER,50,19,7,7,4,15,38.99
2019-08-26,1,ER,50,30,10,4,3,19,60.31
2019-08-27,1,ER,50,28,6,8,4,20,56.98
2019-08-28,1,ER,50,25,7,6,2,19,50.1
2019-08-29,1,ER,50,31,11,9,4,21,62.23
2019-08-30,1,ER,50,30,7,5,3,21,61.72
2019-08-31,1,ER,50,26,13,9,1,18,52.55
2019-09-01,1,ER,50,19,8,3,5,14,38.32
2019-09-02,1,ER,50,28,7,9,5,21,56.22
2019-09-03,1,ER,50,29,8,8,2,18,59.72
2019-09-04,1,ER,50,24,4,8,3,19,48.53
2019-09-05,1,ER,50,25,9,5,2,18,51.72
2019-09-06,1,ER,50,28,5,12,4,19,56.35
2019-09-07,1,ER,50,21,6,6,2,21,42.04
2019-09-08,1,ER,50,18,3,6,1,20,37.45
2019-09-09,1,ER,50,25,7,1,3,16,50.9
2019-09-10,1,ER,50,22,10,7,4,18,45.87
2019-09-11,1,ER,50,31,5,4,3,20,63.21
2019-09-12,1,ER,50,29,8,7,2,20,59.43
2019-09-13,1,ER,50,30,4,8,2,22,60.29
2019-09-14,1,ER,50,21,10,2,4,21,43.97
2019-09-15,1,ER,50,23,5,9,2,19,46.44
2019-09-16,1,ER,50,28,9,5,3,20,57.29
2019-09-17,1,ER,50,29,7,8,1,17,59.23
2019-09-18,1,ER,50,28,5,5,3,18,57.0
2019-09-19,1,ER,50,25,13,7,3,19,50.53
2019-09-20,1,ER,50,27,9,7,4,20,54.71
2019-09-21,1,ER,50,16,7,7,2,18,33.62
2019-09-22,1,ER,50,22,7,8,2,18,45.06
2019-09-23,1,ER,50,31,6,5,4,18,62.08
2019-09-24,1,ER,50,28,11,8,2,21,56.87
2019-09-25,1,ER,50,30,5,5,2,22,61.74
2019-09-26,1,ER,50,32,4,10,1,22,65.24
2019-09-27,1,ER,50,32,10,8,2,20,65.96
2019-09-28,1,ER,50,21,8,9,2,18,42.13
2019-09-29,1,ER,50,18,6,11,2,18,36.4
2019-09-30,1,ER,50,27,12,8,3,23,55.8
2019-10-01,1,ER,50,29,11,9,3,19,58.33
2019-10-02,1,ER,50,27,12,6,3,18,54.59
2019-10-03,1,ER,50,26,6,7,1,20,52.66
2019-10-04,1,ER,50,27,6,7,1,23,54.46
2019-10-05,1,ER,50,22,12,4,2,18,44.57
2019-10-06,1,ER,50,19,4,7,2,18,38.02
2019-10-07,1,ER,50,29,6,9,3,20,58.47
2019-10-08,1,ER,50,31,9,6,3,23,62.57
2019-10-09,1,ER,50,28,9,7,1,21,56.83
2019-10-10,1,ER,50,33,6,7,2,18,66.43
2019-10-11,1,ER,50,31,5,6,4,23,62.58
2019-10-12,1,ER,50,24,8,6,3,20,49.24
2019-10-13,1,ER,50,22,5,8,1,22,44.27
2019-10-14,1,ER,50,28,7,7,3,21,57.01
2019-10-15,1,ER,50,31,7,8,3,23,63.48
2019-10-16,1,ER,50,24,8,3,2,23,49.71
2019-10-17,1,ER,50,23,9,13,2,19,47.15
2019-10-18,1,ER,50,36,10,5,3,23,73.49
2019-10-19,1,ER,50,27,7,10,3,20,55.56
2019-10-20,1,ER,50,16,7,11,2,18,33.17
2019-10-21,1,ER,50,26,11,3,2,19,52.22
2019-10-22,1,ER,50,30,8,10,2,19,61.12
2019-10-23,1,ER,50,24,8,6,2,22,49.25
2019-10-24,1,ER,50,28,2,5,2,21,56.61
2019-10-25,1,ER,50,31,9,3,3,18,62.07
2019-10-26,1,ER,50,16,8,10,3,17,32.14
2019-10-27,1,ER,50,22,6,8,3,19,44.65
2019-10-28,1,ER,50,33,6,6,3,19,67.35
2019-10-29,1,ER,50,29,11,9,1,21,59.69
2019-10-30,1,ER,50,26,10,7,3,21,52.02
2019-10-31,1,ER,50,26,9,2,3,23,52.29
2019-11-01,1,ER,50,30,6,8,2,24,60.39
2019-11-02,1,ER,50,22,3,9,1,18,44.59
2019-11-03,1,ER,50,24,11,5,2,21,49.84
2019-11-04,1,ER,50,33,7,7,1,17,67.86
2019-11-05,1,ER,50,33,7,3,3,19,66.62
2019-11-06,1,ER,50,29,1,5,3,21,59.06
2019-11-07,1,ER,50,33,3,4,1,22,66.55
2019-11-08,1,ER,50,31,8,9,2,21,63.33
2019-11-09,1,ER,50,24,6,2,2,21,49.93
2019-11-10,1,ER,50,22,6,8,2,18,45.23
2019-11-11,1,ER,50,30,10,5,4,21,60.97
2019-11-12,1,ER,50,26,7,12,1,22,52.88
2019-11-13,1,ER,50,26,9,8,3,18,53.62
2019-11-14,1,ER,50,32,6,10,2,23,64.16
2019-11-15,1,ER,50,32,2,4,4,20,65.64
2019-11-16,1,ER,50,23,6,6,3,18,47.59
2019-11-17,1,ER,50,24,7,5,1,19,49.01
2019-11-18,1,ER,50,36,7,9,3,21,72.24
2019-11-19,1,ER,50,29,5,10,1,22,58.51
2019-11-20,1,ER,50,33,10,9,2,25,67.67
2019-11-21,1,ER,50,32,8,6,4,20,64.0
2019-11-22,1,ER,50,33,16,4,3,23,67.44
2019-11-23,1,ER,50,17,6,6,1,23,35.85
2019-11-24,1,ER,50,21,9,7,2,17,42.18
2019-11-25,1,ER,50,29,11,7,3,24,58.75
2019-11-26,1,ER,50,29,8,11,3,17,58.14
2019-11-27,1,ER,50,32,3,7,2,22,64.39
2019-11-28,1,ER,50,34,6,9,4,19,68.23
2019-11-29,1,ER,50,32,10,10,2,21,65.9
2019-11-30,1,ER,50,23,10,6,4,18,46.01
2019-12-01,1,ER,50,29,5,4,2,21,58.7
2019-12-02,1,ER,50,34,8,7,2,20,68.46
2019-12-03,1,ER,50,37,9,12,3,21,75.16
2019-12-04,1,ER,50,35,7,9,2,20,70.97
2019-12-05,1,ER,50,34,10,8,3,22,68.63
2019-12-06,1,ER,50,38,4,8,2,23,76.38
2019-12-07,1,ER,50,25,5,6,3,19,51.06
2019-12-08,1,ER,50,29,12,5,2,20,58.43
2019-12-09,1,ER,50,33,4,6,3,20,67.6
2019-12-10,1,ER,50,39,10,6,3,21,78.47
2019-12-11,1,ER,50,36,9,6,4,21,73.11
2019-12-12,1,ER,50,33,8,9,3,21,67.53
2019-12-13,1,ER,50,36,2,9,3,23,73.28
2019-12-14,1,ER,50,25,8,5,3,19,50.66
2019-12-15,1,ER,50,28,11,9,3,19,56.48
2019-12-16,1,ER,50,39,10,8,2,22,79.89
2019-12-17,1,ER,50,37,6,6,4,19,75.61
2019-12-18,1,ER,50,36,7,10,1,23,73.8
2019-12-19,1,ER,50,30,11,7,3,26,61.63
2019-12-20,1,ER,50,39,8,5,3,21,79.01
2019-12-21,1,ER,50,27,2,8,5,23,54.11
2019-12-22,1,ER,50,25,10,9,3,19,51.16
2019-12-23,1,ER,50,29,2,9,3,20,59.08
2019-12-24,1,ER,50,28,7,2,3,19,57.56
2019-12-25,1,ER,50,33,15,5,1,21,67.17
2019-12-26,1,ER,50,34,13,6,3,17,68.95
2019-12-27,1,ER,50,31,7,5,3,20,62.41
2019-12-28,1,ER,50,24,9,8,3,20,48.09
2019-12-29,1,ER,50,27,8,10,2,17,55.04
2019-12-30,1,ER,50,36,10,6,3,21,72.94
2019-12-31,1,ER,50,34,10,10,2,21,68.63
2020-01-01,1,ER,50,41,12,8,1,24,83.52
2020-01-02,1,ER,50,47,5,10,1,26,95.0
2020-01-03,1,ER,50,45,7,9,1,27,90.81
2020-01-04,1,ER,50,41,8,5,2,23,83.68
2020-01-05,1,ER,50,40,9,5,3,23,80.44
2020-01-06,1,ER,50,47,7,8,2,24,95.0
2020-01-07,1,ER,50,47,2,9,1,23,95.0
2020-01-08,1,ER,50,47,8,8,2,26,95.0
2020-01-09,1,ER,50,47,7,5,3,24,95.0
2020-01-10,1,ER,50,47,9,6,3,23,95.0
2020-01-11,1,ER,50,41,9,7,1,23,83.15
2020-01-12,1,ER,50,40,10,10,4,23,80.07
2020-01-13,1,ER,50,46,9,8,3,24,92.6
2020-01-14,1,ER,50,47,12,9,2,24,95.0
2020-01-15,1,ER,50,47,6,13,3,25,95.0
2020-01-16,1,ER,50,45,6,7,2,24,90.74
2020-01-17,1,ER,50,47,7,5,2,22,95.0
2020-01-18,1,ER,50,37,6,8,2,25,75.42
2020-01-19,1,ER,50,41,8,4,2,23,83.71
2020-01-20,1,ER,50,47,5,5,3,23,95.0
2020-01-21,1,ER,50,47,12,2,2,21,95.0
2020-01-22,1,ER,50,47,5,11,2,24,95.0
2020-01-23,1,ER,50,47,4,9,2,22,95.0
2020-01-24,1,ER,50,44,9,6,4,24,88.67
2020-01-25,1,ER,50,40,6,11,2,20,81.34
2020-01-26,1,ER,50,40,9,9,4,22,80.27
2020-01-27,1,ER,50,47,7,0,6,19,95.0
2020-01-28,1,ER,50,43,9,9,4,17,87.85
2020-01-29,1,ER,50,47,6,5,3,22,95.0
2020-01-30,1,ER,50,47,6,8,1,25,95.0
2020-01-31,1,ER,50,47,4,7,1,23,95.0
2020-02-01,1,ER,50,40,9,9,5,22,80.87
2020-02-02,1,ER,50,43,8,6,1,24,86.68
2020-02-03,1,ER,50,47,7,8,2,20,95.0
2020-02-04,1,ER,50,47,7,4,2,24,95.0
2020-02-05,1,ER,50,47,4,3,2,22,95.0
2020-02-06,1,ER,50,47,9,5,4,26,95.0
2020-02-07,1,ER,50,47,5,7,4,22,95.0
2020-02-08,1,ER,50,42,15,13,2,22,84.08
2020-02-09,1,ER,50,43,6,6,1,23,87.88
2020-02-10,1,ER,50,47,9,5,2,23,95.0
2020-02-11,1,ER,50,47,4,9,2,24,95.0
2020-02-12,1,ER,50,47,6,8,2,20,95.0
2020-02-13,1,ER,50,47,5,4,3,25,95.0
2020-02-14,1,ER,50,47,7,9,3,24,95.0
2020-02-15,1,ER,50,45,3,9,2,23,90.58
2020-02-16,1,ER,50,43,9,6,3,27,86.19
2020-02-17,1,ER,50,47,6,9,1,21,95.0
2020-02-18,1,ER,50,47,8,6,2,28,95.0
2020-02-19,1,ER,50,47,6,8,3,24,95.0
2020-02-20,1,ER,50,47,11,5,3,27,95.0
2020-02-21,1,ER,50,47,8,8,4,23,95.0
2020-02-22,1,ER,50,36,7,6,2,23,73.38
2020-02-23,1,ER,50,45,4,4,2,23,90.22
2020-02-24,1,ER,50,47,6,5,3,25,95.0
2020-02-25,1,ER,50,47,7,8,1,25,95.0
2020-02-26,1,ER,50,47,8,7,3,24,95.0
2020-02-27,1,ER,50,47,11,5,1,25,95.0
2020-02-28,1,ER,50,47,10,10,4,25,95.0
2020-02-29,1,ER,50,43,7,4,2,21,86.69
2020-03-01,1,ER,50,45,7,5,3,22,91.83
2020-03-02,1,ER,50,47,5,7,1,21,95.0
2020-03-03,1,ER,50,47,9,5,3,20,95.0
2020-03-04,1,ER,50,47,9,9,3,25,95.0
2020-03-05,1,ER,50,47,6,3,3,26,95.0
2020-03-06,1,ER,50,47,6,10,1,25,95.0
2020-03-07,1,ER,50,45,8,7,3,24,90.26
2020-03-08,1,ER,50,43,7,6,2,23,87.55
2020-03-09,1,ER,50,47,11,7,4,19,95.0
2020-03-10,1,ER,50,47,7,12,3,23,95.0
2020-03-11,1,ER,50,47,6,9,2,23,95.0
2020-03-12,1,ER,50,47,5,11,3,25,95.0
2020-03-13,1,ER,50,47,3,9,1,22,95.0
2020-03-14,1,ER,50,45,2,6,3,25,90.49
2020-03-15,1,ER,50,46,14,6,3,22,92.87
2020-03-16,1,ER,50,47,9,7,3,22,95.0
2020-03-17,1,ER,50,47,11,6,1,21,95.0
2020-03-18,1,ER,50,47,8,9,1,21,95.0
2020-03-19,1,ER,50,47,6,5,2,22,95.0
2020-03-20,1,ER,50,47,7,8,4,24,95.0
2020-03-21,1,ER,50,47,4,5,2,19,95.0
2020-03-22,1,ER,50,46,5,14,2,24,92.26
2020-03-23,1,ER,50,47,9,9,3,26,95.0
2020-03-24,1,ER,50,47,11,8,4,23,95.0
2020-03-25,1,ER,50,47,7,6,4,25,95.0
2020-03-26,1,ER,50,47,6,4,3,22,95.0
2020-03-27,1,ER,50,47,6,7,1,21,95.0
2020-03-28,1,ER,50,43,9,9,2,24,86.18
2020-03-29,1,ER,50,39,7,6,2,21,78.76
2020-03-30,1,ER,50,47,7,9,2,23,95.0
2020-03-31,1,ER,50,47,7,1,4,23,95.0
2020-04-01,1,ER,50,47,2,10,3,21,95.0
2020-04-02,1,ER,50,47,8,9,2,22,95.0
2020-04-03,1,ER,50,47,12,10,2,22,95.0
2020-04-04,1,ER,50,41,6,3,2,25,83.95
2020-04-05,1,ER,50,43,8,7,4,24,86.72
2020-04-06,1,ER,50,47,9,6,2,24,95.0
2020-04-07,1,ER,50,47,4,12,3,22,95.0
2020-04-08,1,ER,50,47,12,4,1,26,95.0
2020-04-09,1,ER,50,47,9,4,3,26,95.0
2020-04-10,1,ER,50,47,10,2,2,20,95.0
2020-04-11,1,ER,50,44,8,10,2,24,88.42
2020-04-12,1,ER,50,47,4,7,4,25,94.42
2020-04-13,1,ER,50,47,12,5,2,24,95.0
2020-04-14,1,ER,50,47,6,4,3,24,95.0
2020-04-15,1,ER,50,47,5,7,4,21,95.0
2020-04-16,1,ER,50,47,9,10,1,24,95.0
2020-04-17,1,ER,50,47,4,8,1,28,95.0
2020-04-18,1,ER,50,44,9,4,1,25,88.09
2020-04-19,1,ER,50,41,5,4,4,24,83.2
2020-04-20,1,ER,50,47,11,13,2,24,95.0
2020-04-21,1,ER,50,47,4,10,2,25,95.0
2020-04-22,1,ER,50,47,13,8,1,21,95.0
2020-04-23,1,ER,50,47,7,7,2,21,95.0
2020-04-24,1,ER,50,47,11,6,1,25,95.0
2020-04-25,1,ER,50,47,9,4,5,24,95.0
2020-04-26,1,ER,50,47,13,13,1,22,95.0
2020-04-27,1,ER,50,47,4,7,3,23,95.0
2020-04-28,1,ER,50,47,12,9,2,23,95.0
2020-04-29,1,ER,50,47,11,12,1,25,95.0
2020-04-30,1,ER,50,47,5,10,1,23,95.0
2020-05-01,1,ER,50,47,6,5,1,20,95.0
2020-05-02,1,ER,50,41,11,10,4,24,83.27
2020-05-03,1,ER,50,44,6,4,1,22,89.46
2020-05-04,1,ER,50,47,10,2,2,22,95.0
2020-05-05,1,ER,50,45,9,3,4,25,91.27
2020-05-06,1,ER,50,47,8,10,2,24,95.0
2020-05-07,1,ER,50,47,8,4,1,26,94.27
2020-05-08,1,ER,50,47,8,8,2,23,95.0
2020-05-09,1,ER,50,43,6,3,3,24,87.45
2020-05-10,1,ER,50,40,5,7,3,20,80.96
