report_date,disease,cases,deaths,confirmed
2009-01-28,Malaria,4,2,0
2009-01-29,Meningitis,7,4,0
2009-01-29,Yellow Fever,10,5,5
2009-01-29,Viral Haemmorrhaphic Fever,8,3,0
2009-01-29,Measles,5,3,1
2009-01-29,Rubella Mars,4,3,0
2009-01-29,Malaria,11,5,3
2009-01-29,Ebola,5,3,0
2009-01-29,Marburg Virus,7,3,0
2009-01-29,Diarrhoea,12,6,4
2009-01-29,Cholera,10,4,6
2009-01-30,Viral Haemmorrhaphic Fever,5,0,0
2009-01-30,Rubella Mars,7,2,0
2009-01-30,Meningitis,2,0,0
2009-01-30,Measles,4,4,0
2009-01-30,Yellow Fever,6,2,3
2009-01-30,Malaria,7,4,2
2009-01-30,Ebola,11,6,0
2009-01-30,Diarrhoea,12,5,3
2009-01-30,Cholera,6,3,3
2009-01-30,Marburg Virus,1,1,0
2009-01-31,Yellow Fever,9,4,4
2009-01-31,Viral Haemmorrhaphic Fever,15,9,0
2009-01-31,Rubella Mars,10,7,0
2009-01-31,Meningitis,4,1,0
2009-01-31,Measles,7,4,3
2009-01-31,Marburg Virus,5,3,0
2009-01-31,Ebola,15,8,0
2009-01-31,Diarrhoea,11,2,6
2009-01-31,Cholera,6,3,5
2009-01-31,Malaria,6,2,3
2009-02-01,Meningitis,8,5,0
2009-02-01,Viral Haemmorrhaphic Fever,6,2,0
2009-02-01,Rubella Mars,7,3,0
2009-02-01,Measles,4,4,3
2009-02-01,Yellow Fever,5,3,5
2009-02-01,Malaria,12,6,7
2009-02-01,Cholera,11,5,5
2009-02-01,Marburg Virus,7,5,0
2009-02-01,Ebola,6,3,0
2009-02-01,Diarrhoea,3,2,2
2009-02-02,Yellow Fever,8,2,4
2009-02-02,Viral Haemmorrhaphic Fever,8,4,0
2009-02-02,Rubella Mars,5,0,0
2009-02-02,Measles,9,3,4
2009-02-02,Meningitis,10,5,0
2009-02-02,Malaria,6,3,3
2009-02-02,Ebola,10,4,0
2009-02-02,Diarrhoea,5,1,1
2009-02-02,Cholera,6,3,4
2009-02-02,Marburg Virus,5,1,0
2009-02-03,Yellow Fever,6,3,2
2009-02-03,Viral Haemmorrhaphic Fever,8,4,0
2009-02-03,Rubella Mars,8,2,0
2009-02-03,Meningitis,6,5,0
2009-02-03,Measles,10,6,2
2009-02-03,Marburg Virus,7,5,0
2009-02-03,Ebola,7,3,0
2009-02-03,Diarrhoea,8,5,2
2009-02-03,Cholera,10,4,5
2009-02-03,Malaria,10,7,4
2009-02-04,Yellow Fever,13,9,6
2009-02-04,Viral Haemmorrhaphic Fever,8,3,0
2009-02-04,Rubella Mars,9,7,0
2009-02-04,Meningitis,3,0,0
2009-02-04,Measles,13,8,8
2009-02-04,Malaria,8,4,2
2009-02-04,Ebola,10,7,0
2009-02-04,Diarrhoea,8,2,5
2009-02-04,Cholera,12,8,8
2009-02-04,Marburg Virus,5,3,0
2009-02-05,Meningitis,4,2,0
2009-02-05,Yellow Fever,8,5,2
2009-02-05,Viral Haemmorrhaphic Fever,12,4,0
2009-02-05,Rubella Mars,5,1,0
2009-02-05,Measles,2,1,1
2009-02-05,Marburg Virus,6,3,0
2009-02-05,Malaria,10,4,1
2009-02-05,Ebola,2,2,0
2009-02-05,Diarrhoea,9,4,5
2009-02-05,Cholera,6,4,1
2009-02-06,Viral Haemmorrhaphic Fever,9,5,0
2009-02-06,Rubella Mars,10,4,0
2009-02-06,Meningitis,5,2,0
2009-02-06,Measles,11,5,5
2009-02-06,Yellow Fever,6,4,3
2009-02-06,Malaria,8,2,4
2009-02-06,Ebola,11,5,0
2009-02-06,Diarrhoea,8,3,4
2009-02-06,Cholera,5,0,2
2009-02-06,Marburg Virus,6,3,0
2009-02-07,Yellow Fever,9,5,5
2009-02-07,Viral Haemmorrhaphic Fever,6,3,0
2009-02-07,Rubella Mars,6,3,0
2009-02-07,Meningitis,9,5,0
2009-02-07,Measles,8,4,4
2009-02-07,Marburg Virus,8,4,0
2009-02-07,Ebola,5,2,0
2009-02-07,Diarrhoea,5,2,4
2009-02-07,Cholera,4,1,2
2009-02-07,Malaria,10,5,6
2009-02-08,Meningitis,6,4,0
2009-02-08,Viral Haemmorrhaphic Fever,11,4,0
2009-02-08,Rubella Mars,3,1,0
2009-02-08,Measles,12,6,5
2009-02-08,Yellow Fever,5,3,2
2009-02-08,Malaria,10,6,4
2009-02-08,Cholera,12,2,6
2009-02-08,Marburg Virus,8,4,0
2009-02-08,Ebola,9,5,0
2009-02-08,Diarrhoea,8,4,1
2009-02-09,Yellow Fever,4,3,1
2009-02-09,Viral Haemmorrhaphic Fever,8,2,0
2009-02-09,Rubella Mars,8,2,0
2009-02-09,Measles,14,5,11
2009-02-09,Meningitis,4,2,0
2009-02-09,Malaria,7,5,3
2009-02-09,Ebola,8,5,0
2009-02-09,Diarrhoea,10,5,4
2009-02-09,Cholera,11,7,5
2009-02-09,Marburg Virus,4,2,0
2009-02-10,Yellow Fever,11,7,5
2009-02-10,Viral Haemmorrhaphic Fever,10,3,0
2009-02-10,Rubella Mars,9,2,0
2009-02-10,Meningitis,6,3,0
2009-02-10,Measles,11,5,6
2009-02-10,Marburg Virus,11,5,0
2009-02-10,Ebola,7,4,0
2009-02-10,Diarrhoea,10,4,2
2009-02-10,Cholera,4,3,1
2009-02-10,Malaria,8,2,7
2009-02-11,Yellow Fever,7,5,2
2009-02-11,Viral Haemmorrhaphic Fever,6,3,0
2009-02-11,Rubella Mars,6,2,0
2009-02-11,Meningitis,7,3,0
2009-02-11,Measles,11,5,6
2009-02-11,Marburg Virus,10,6,0
2009-02-11,Ebola,8,3,0
2009-02-11,Diarrhoea,3,1,2
2009-02-11,Cholera,6,2,4
2009-02-11,Malaria,2,1,2
2009-02-12,Meningitis,6,3,0
2009-02-12,Viral Haemmorrhaphic Fever,8,1,0
2009-02-12,Rubella Mars,8,4,0
2009-02-12,Measles,10,4,6
2009-02-12,Yellow Fever,11,6,7
2009-02-12,Malaria,5,0,1
2009-02-12,Ebola,6,4,0
2009-02-12,Diarrhoea,12,4,8
2009-02-12,Cholera,11,5,6
2009-02-12,Marburg Virus,7,6,0
2009-02-13,Viral Haemmorrhaphic Fever,4,3,0
2009-02-13,Rubella Mars,4,2,0
2009-02-13,Meningitis,8,6,0
2009-02-13,Measles,6,4,3
2009-02-13,Yellow Fever,10,3,4
2009-02-13,Malaria,8,4,6
2009-02-13,Ebola,4,0,0
2009-02-13,Diarrhoea,10,4,3
2009-02-13,Cholera,13,7,8
2009-02-13,Marburg Virus,7,5,0
2009-02-14,Yellow Fever,8,4,2
2009-02-14,Viral Haemmorrhaphic Fever,3,2,0
2009-02-14,Rubella Mars,12,7,0
2009-02-14,Meningitis,13,7,0
2009-02-14,Measles,11,6,6
2009-02-14,Marburg Virus,3,0,0
2009-02-14,Ebola,6,3,0
2009-02-14,Diarrhoea,6,4,2
2009-02-14,Cholera,9,6,5
2009-02-14,Malaria,7,6,2
2009-02-15,Meningitis,6,1,0
2009-02-15,Viral Haemmorrhaphic Fever,7,7,0
2009-02-15,Rubella Mars,5,4,0
2009-02-15,Measles,10,4,7
2009-02-15,Yellow Fever,7,5,3
2009-02-15,Malaria,8,4,6
2009-02-15,Cholera,10,4,5
2009-02-15,Marburg Virus,8,4,0
2009-02-15,Ebola,8,3,0
2009-02-15,Diarrhoea,3,2,2
2009-02-16,Yellow Fever,9,6,7
2009-02-16,Viral Haemmorrhaphic Fever,9,5,0
2009-02-16,Rubella Mars,3,2,0
2009-02-16,Measles,9,6,4
2009-02-16,Meningitis,8,3,0
2009-02-16,Malaria,7,4,2
2009-02-16,Ebola,11,5,0
2009-02-16,Diarrhoea,8,5,5
2009-02-16,Cholera,9,6,6
2009-02-16,Marburg Virus,9,6,0
2009-02-17,Yellow Fever,8,5,6
2009-02-17,Viral Haemmorrhaphic Fever,7,4,0
2009-02-17,Rubella Mars,7,5,0
2009-02-17,Meningitis,7,4,0
2009-02-17,Measles,9,6,5
2009-02-17,Marburg Virus,6,6,0
2009-02-17,Ebola,8,2,0
2009-02-17,Diarrhoea,8,5,2
2009-02-17,Cholera,7,3,3
2009-02-17,Malaria,7,5,5
2009-02-18,Yellow Fever,8,5,4
2009-02-18,Viral Haemmorrhaphic Fever,9,3,0
2009-02-18,Rubella Mars,3,2,0
2009-02-18,Meningitis,6,4,0
2009-02-18,Measles,7,2,4
2009-02-18,Marburg Virus,10,3,0
2009-02-18,Ebola,10,5,0
2009-02-18,Diarrhoea,9,4,3
2009-02-18,Cholera,10,6,4
2009-02-18,Malaria,9,5,5
2009-02-19,Meningitis,12,5,0
2009-02-19,Viral Haemmorrhaphic Fever,5,3,0
2009-02-19,Rubella Mars,6,4,0
2009-02-19,Measles,11,6,7
2009-02-19,Yellow Fever,6,2,3
2009-02-19,Malaria,10,4,4
2009-02-19,Cholera,7,4,5
2009-02-19,Marburg Virus,8,2,0
2009-02-19,Ebola,6,3,0
2009-02-19,Diarrhoea,5,1,5
2009-02-20,Cholera,7,5,0
2009-02-20,Diarrhoea,7,4,4
2009-02-20,Ebola,5,2,0
2009-02-20,Malaria,11,5,8
2009-02-20,Marburg Virus,8,6,0
2009-02-20,Measles,9,6,2
2009-02-20,Meningitis,8,4,0
2009-02-20,Rubella Mars,8,2,0
2009-02-20,Viral Haemmorrhaphic Fever,8,6,0
2009-02-20,Yellow Fever,4,2,0
2009-02-21,Yellow Fever,6,4,4
2009-02-21,Viral Haemmorrhaphic Fever,10,4,0
2009-02-21,Rubella Mars,9,6,0
2009-02-21,Measles,5,3,3
2009-02-21,Meningitis,9,6,0
2009-02-21,Malaria,9,5,5
2009-02-21,Cholera,11,2,6
2009-02-21,Marburg Virus,7,3,0
2009-02-21,Ebola,9,5,0
2009-02-21,Diarrhoea,7,3,3
2009-02-22,Yellow Fever,6,3,3
2009-02-22,Viral Haemmorrhaphic Fever,9,5,0
2009-02-22,Rubella Mars,6,4,0
2009-02-22,Measles,13,5,8
2009-02-22,Meningitis,8,5,0
2009-02-22,Malaria,13,2,9
2009-02-22,Ebola,2,0,0
2009-02-22,Diarrhoea,8,7,3
2009-02-22,Cholera,13,9,6
2009-02-22,Marburg Virus,12,6,0
2009-02-23,Yellow Fever,7,4,3
2009-02-23,Viral Haemmorrhaphic Fever,9,3,0
2009-02-23,Rubella Mars,9,3,0
2009-02-23,Meningitis,9,6,0
2009-02-23,Measles,6,5,5
2009-02-23,Marburg Virus,5,2,0
2009-02-23,Ebola,5,4,0
2009-02-23,Cholera,10,7,6
2009-02-23,Malaria,17,6,3
2009-02-23,Diarrhoea,8,5,3
2009-02-24,Cholera,12,5,10
2009-02-24,Diarrhoea,10,5,5
2009-02-24,Ebola,4,1,0
2009-02-24,Malaria,9,3,5
2009-02-24,Measles,5,2,1
2009-02-24,Meningitis,12,5,0
2009-02-24,Rubella Mars,8,5,0
2009-02-24,Viral Haemmorrhaphic Fever,7,3,0
2009-02-24,Yellow Fever,5,2,1
2009-02-24,Marburg Virus,8,3,0
2009-02-25,Yellow Fever,4,3,2
2009-02-25,Meningitis,8,5,0
2009-02-25,Viral Haemmorrhaphic Fever,7,4,0
2009-02-25,Rubella Mars,10,6,0
2009-02-25,Measles,11,5,8
2009-02-25,Malaria,13,8,4
2009-02-25,Ebola,14,8,0
2009-02-25,Diarrhoea,8,4,4
2009-02-25,Cholera,16,7,9
2009-02-25,Marburg Virus,11,7,0
2009-02-26,Yellow Fever,8,6,6
2009-02-26,Viral Haemmorrhaphic Fever,8,7,0
2009-02-26,Rubella Mars,7,4,0
2009-02-26,Meningitis,10,5,0
2009-02-26,Measles,7,3,4
2009-02-26,Marburg Virus,8,8,0
2009-02-26,Ebola,4,2,0
2009-02-26,Diarrhoea,7,4,2
2009-02-26,Cholera,5,2,1
2009-02-26,Malaria,12,6,9
2009-02-27,Meningitis,12,6,0
2009-02-27,Yellow Fever,12,7,4
2009-02-27,Viral Haemmorrhaphic Fever,9,7,0
2009-02-27,Rubella Mars,8,6,0
2009-02-27,Measles,8,5,3
2009-02-27,Ebola,8,3,0
2009-02-27,Malaria,4,2,2
2009-02-27,Marburg Virus,7,5,0
2009-02-27,Diarrhoea,5,3,3
2009-02-27,Cholera,12,3,8
2009-02-28,Yellow Fever,6,5,2
2009-02-28,Viral Haemmorrhaphic Fever,4,1,0
2009-02-28,Rubella Mars,10,8,0
2009-02-28,Meningitis,8,2,0
2009-02-28,Measles,10,4,6
2009-02-28,Malaria,8,2,1
2009-02-28,Ebola,6,4,0
2009-02-28,Diarrhoea,4,2,2
2009-02-28,Cholera,8,4,2
2009-02-28,Marburg Virus,3,0,0
2009-03-01,Meningitis,6,2,0
2009-03-01,Yellow Fever,8,2,4
2009-03-01,Viral Haemmorrhaphic Fever,11,5,0
2009-03-01,Rubella Mars,9,4,0
2009-03-01,Measles,11,7,6
2009-03-01,Marburg Virus,11,4,0
2009-03-01,Malaria,9,7,7
2009-03-01,Ebola,10,4,0
2009-03-01,Diarrhoea,12,7,7
2009-03-01,Cholera,3,3,1
2009-03-02,Yellow Fever,9,7,4
2009-03-02,Viral Haemmorrhaphic Fever,3,2,0
2009-03-02,Rubella Mars,7,4,0
2009-03-02,Meningitis,12,8,0
2009-03-02,Measles,10,4,3
2009-03-02,Marburg Virus,7,2,0
2009-03-02,Malaria,7,4,3
2009-03-02,Ebola,6,2,0
2009-03-02,Diarrhoea,3,1,2
2009-03-02,Cholera,14,5,8
2009-03-03,Yellow Fever,12,5,8
2009-03-03,Viral Haemmorrhaphic Fever,8,5,0
2009-03-03,Rubella Mars,6,3,0
2009-03-03,Meningitis,8,5,0
2009-03-03,Measles,8,3,3
2009-03-03,Marburg Virus,8,4,0
2009-03-03,Malaria,7,2,4
2009-03-03,Ebola,8,4,0
2009-03-03,Diarrhoea,7,3,4
2009-03-03,Cholera,9,3,5
2009-03-04,Yellow Fever,5,2,2
2009-03-04,Viral Haemmorrhaphic Fever,4,2,0
2009-03-04,Rubella Mars,12,6,0
2009-03-04,Meningitis,7,5,0
2009-03-04,Measles,11,3,4
2009-03-04,Marburg Virus,12,9,0
2009-03-04,Malaria,5,3,3
2009-03-04,Ebola,9,7,0
2009-03-04,Diarrhoea,10,4,5
2009-03-04,Cholera,10,3,3
2009-03-05,Yellow Fever,5,1,4
2009-03-05,Viral Haemmorrhaphic Fever,7,5,0
2009-03-05,Rubella Mars,8,3,0
2009-03-05,Meningitis,8,5,0
2009-03-05,Marburg Virus,2,1,0
2009-03-05,Ebola,10,8,0
2009-03-05,Malaria,7,7,5
2009-03-05,Diarrhoea,3,3,2
2009-03-05,Cholera,8,4,2
2009-03-05,Measles,6,3,2
2009-03-06,Yellow Fever,7,4,4
2009-03-06,Cholera,6,4,3
2009-03-06,Diarrhoea,7,1,2
2009-03-06,Ebola,5,2,0
2009-03-06,Malaria,8,5,4
2009-03-06,Marburg Virus,5,3,0
2009-03-06,Measles,7,3,4
2009-03-06,Meningitis,12,8,0
2009-03-06,Rubella Mars,9,6,0
2009-03-06,Viral Haemmorrhaphic Fever,4,4,0
2009-03-07,Rubella Mars,9,4,0
2009-03-07,Meningitis,10,1,0
2009-03-07,Yellow Fever,12,6,8
2009-03-07,Viral Haemmorrhaphic Fever,6,2,0
2009-03-07,Measles,7,2,4
2009-03-07,Cholera,7,3,4
2009-03-07,Malaria,8,2,4
2009-03-07,Ebola,7,4,0
2009-03-07,Diarrhoea,6,3,2
2009-03-07,Marburg Virus,10,4,0
2009-03-08,Yellow Fever,8,4,6
2009-03-08,Viral Haemmorrhaphic Fever,5,4,0
2009-03-08,Rubella Mars,5,2,0
2009-03-08,Meningitis,4,2,0
2009-03-08,Measles,11,8,4
2009-03-08,Marburg Virus,9,4,0
2009-03-08,Malaria,6,3,3
2009-03-08,Ebola,10,4,0
2009-03-08,Diarrhoea,7,3,5
2009-03-08,Cholera,7,4,4
2009-03-09,Yellow Fever,5,3,3
2009-03-09,Viral Haemmorrhaphic Fever,8,4,0
2009-03-09,Rubella Mars,5,3,0
2009-03-09,Meningitis,9,2,0
2009-03-09,Measles,3,1,2
2009-03-09,Malaria,8,1,4
2009-03-09,Ebola,9,4,0
2009-03-09,Diarrhoea,6,5,3
2009-03-09,Cholera,11,4,5
2009-03-09,Marburg Virus,11,7,0
2009-03-10,Marburg Virus,6,4,0
2009-03-10,Cholera,7,2,3
2009-03-10,Diarrhoea,7,5,4
2009-03-10,Ebola,4,1,0
